1,停電,ていでん,teiden,power outage/blackout,noun/verb,昨夜は停電がありました。,There was a power outage last night.,Sakuya wa teiden ga arimashita.,Common in weather-related contexts
2, 断水             , だんすい         , dansui     , water outage/to cut off the water supply , noun/verb      , 明日、断水があります。           , There will be a water outage tomorrow.   ," Ashita, dansui ga arimasu.                ", Important in utilities             
3, 部署             , ぶしょ           , busho      , one’s post/department/section            , noun           , 彼は新しい部署に移りました。     , He moved to a new department.            , Kare wa atarashii busho ni utsurimashita. , Refers to organizational structure 
4, バックアップ     , バックアップ     , bakkappu   , backup/to backup                         , noun/verb      , データのバックアップを取ります。 , I will take a backup of the data.        , Dēta no bakkappu o torimasu.              , Common in IT contexts              
5, 手順             , てじゅん         , tejun      , procedure                                , noun           , 手順を守ってください。           , Please follow the procedure.             , Tejun o mamotte kudasai.                  , Important in processes             
6, 従う             , したがう         , shitagau   , to follow/to obey                        , verb           , 規則に従って行動します。         , I will act according to the rules.       , Kisoku ni shitagatte kōdō shimasu.        , Common in regulations              
7, 流出             , りゅうしゅつ     , ryūshutsu  , outflow/to leak out                      , noun/verb      , 情報の流出が問題です。           , The outflow of information is a problem. , Jōhō no ryūshutsu ga mondai desu.         , Often used in security contexts    
8, 情報管理         , じょうほうかんり , jōhōkanri  , information management                   , noun           , 情報管理は重要です。             , Information management is important.     , Jōhōkanri wa jūyō desu.                   , Relevant in data handling          
9, 方針             , ほうしん         , hōshin     , policy                                   , noun           , 新しい方針が発表されました。     , A new policy has been announced.         , Atarashii hōshin ga happyō saremashita.   , Important in governance            
10, 終了             , しゅうりょう     , shūryō     , end/close/to finish                      , noun/verb      , 仕事が終了しました。             , The work has been completed.             , Shigoto ga shūryō shimashita.             , Common in meetings                 
11, 吠える           , ほえる           , hoeru      , to bark/to roar                          , verb           , 犬が吠えています。               , The dog is barking.                      , Inu ga hoeteimasu.                        , Common in animal behavior          
12, 離婚             , りこん           , rikondai   , divorce/to get divorced                  , noun/verb      , 彼らは離婚しました。             , They got divorced.                       , Karera wa rikon shimashita.               , Related to family law              
13, 決意             , けつい           , ketsui     , determination/to decide                  , noun/verb      , 彼は決意を固めました。           , He made a firm determination.            , Kare wa ketsui o katamemashita.           , Important in personal goals        
14, かえって         , かえって         , kaette     , on the contrary/rather                   , adverb         , かえって混乱しました。           , It rather caused confusion.              , Kaette konran shimashita.                 , Used for contrasting situations    
15, 汚染             , おせん           , osen       , pollution/contamination                  , noun/verb      , 環境汚染が問題です。             , Environmental pollution is a problem.    , Kankyō osen ga mondai desu.               , Important in environmental issues  
16, 海洋             , かいよう         , kaiyō      , ocean                                    , noun           , 海洋は広大です。                 , The ocean is vast.                       , Kaiyō wa kodai desu.                      , Common in geography                
17, 大気汚染         , たいきおせん     , taiki osen , air pollution                            , noun           , 大気汚染が深刻です。             , Air pollution is serious.                , Taiki osen ga shinkoku desu.              , Important in health discussions    
18, 海洋汚染         , かいようおせん   , kaiyō osen , marine pollution                         , noun           , 海洋汚染が増えています。         , Marine pollution is increasing.          , Kaiyō osen ga fueteimasu.                 , Relevant in environmental policies 
19, 仲介             , ちゅうかい       , chūkai     , mediation/to mediate                     , noun/verb      , 彼は仲介者です。                 , He is a mediator.                        , Kare wa chūkaisha desu.                   , Common in conflict resolution      
20, 自動             , じどう           , jidō       , automatic                                , na-adjective   , 自動車が好きです。               , I like automatic cars.                   , Jidōsha ga suki desu.                     , Common in technology               
21, 調節             , ちょうせつ       , chōsetsu   , adjustment/regulation                    , noun/verb      , 温度を調節してください。         , Please adjust the temperature.           , Ondo o chōsetsu shite kudasai.            , Important in settings              
22, 契約             , けいやく         , keiyaku    , contract/agreement                       , noun/verb      , 契約を更新しました。             , I renewed the contract.                  , Keiyaku o kōshin shimashita.              , Related to legal documents         
23, 休業             , きゅうぎょう     , kyūgyō     , closing a business/to close a business   , noun/verb      , 店が休業しています。             , The store is closed.                     , Mise ga kyūgyō shiteimasu.                , Common in business contexts        
24, 開会             , かいかい         , kaikai     , opening of a meeting/to convene          , noun/verb      , 開会の挨拶をします。             , I will give the opening remarks.         , Kaikai no aisatsu o shimasu.              , Common in formal events            
25, 一言             , ひとこと         , hitokoto   , a word                                   , noun           , 一言お願いします。               ," A word, please.                          ", Hitokoto onegaishimasu.                   , Common in requests                 
26, 指示             , しじ           , shiji          , instructions/to instruct/to direct   , noun/verb         , 指示に従って行動します。           , I will act according to the instructions.  , Shiji ni shitagatte kōdō shimasu.     , Common in workplace settings         
27, 避難             , ひなん         , hinan          , evacuation/refuge/to take refuge     , noun/verb         , 避難が必要です。                   , Evacuation is necessary.                   , Hinen ga hitsuyō desu.                , Relevant in emergencies              
28, 豊か             , ゆたか         , yutaka         , abundant/rich                        , na-adjective      , 豊かな自然があります。             , There is abundant nature.                  , Yutakana shizen ga arimasu.           , Used in describing resources         
29, 豊富             , ほうふ         , hōfu           , wealth/plenty/rich/abundant          , noun/na-adjective , 豊富な経験があります。             , I have abundant experience.                , Hōfu na keiken ga arimasu.            , Common in discussing qualities       
30, 一層             , いっそう       , issō           , more/even more                       , adverb            , 一層努力が必要です。               , More effort is needed.                     , Issō doryoku ga hitsuyō desu.         , Emphasizes an increase               
31, 相互             , そうご         , sōgo           , mutual                               , noun              , 相互に理解しましょう。             , Let's understand each other mutually.      , Sōgo ni rikai shimashou.              , Often used in relationships          
32, 苛める           , いじめる       , ijimeru        , to torment/to tease/to bully         , verb              , 彼を苛めるのはやめてください。     , Please stop bullying him.                  , Kare o ijimeru no wa yamete kudasai.  , Important in discussions on bullying 
33, 余計             , よけい         , yokē           , extra/unnecessary                    , na-adjective      , 余計なものは要りません。           , Extra things are not needed.               , Yokei na mono wa irimasen.            , Used for redundancy                  
34, 才能             , さいのう       , sainō          , talent                               , noun              , 彼女には才能があります。           , She has talent.                            , Kanojo ni wa sainō ga arimasu.        , Common in discussions on skills      
35, 採用             , さいよう       , saiyō          , adoption/employment/to adopt         , noun/verb         , 新しい人を採用します。             , I will employ a new person.                , Atarashii hito o saiyō shimasu.       , Relevant in hiring contexts          
36, 定量             , ていりょう     , teiryō         , fixed quantity                       , noun              , 定量が設定されています。           , A fixed quantity is set.                   , Teiryō ga settei sareteimasu.         , Often used in measurements           
37, 時下             , じか           , jika           , nowadays (literary expression)       , noun              , 時下、ますます便利になっています。 ," Nowadays, it is becoming more convenient.  "," Jika, masumasu benri ni natteimasu.   ", Formal language                      
38, 点検             , てんけん       , tenken         , inspection/to inspect                , noun/verb         , 車の点検を行います。               , I will perform an inspection on the car.   , Kuruma no tenken o okonaimasu.        , Common in maintenance contexts       
39, 精密機械         , せいみつきかい , seimitsu kikai , precision machine                    , noun              , 精密機械を扱っています。           , I handle precision machines.               , Seimitsu kikai o atsukatteimasu.      , Important in engineering             
40, 出社             , しゅっしゃ     , shussha        , going to work/to go to work          , noun/verb         , 毎日出社します。                   , I go to work every day.                    , Mainichi shussha shimasu.             , Common in employment discussions     
41, 退社             , たいしゃ       , taisha         , leaving work/to leave work           , noun/verb         , 仕事の後に退社します。             , I leave work after finishing my job.       , Shigoto no ato ni taisha shimasu.     , Common in workplace settings         
42, 予め             , あらかじめ     , arakajime      , beforehand/in advance                , adverb            , 予め連絡してください。             , Please contact me in advance.              , Arakajime renraku shite kudasai.      , Important in planning                
43, 前後             , ぜんご         , zengo          , in front and behind/before and after , noun              , 前後の時間を考慮してください。     , Please consider the time before and after. , Zengo no jikan o kōryo shite kudasai. , Common in time discussions           
44, 清祥             , せいしょう     , seishō         , your good health and happiness       , noun              , 清祥をお祈りします。               , I wish you good health and happiness.      , Seishō o oinori shimasu.              , Often used in letters                
45, 不明             , ふめい         , fummei         , obscurity/ambiguity/unknown          , na-adjective      , 不明な点があります。               , There are unclear points.                  , Fumei na ten ga arimasu.              , Common in clarifications             
