No.,Japanese (Kanji),Hiragana,Romaji,English Translation,Part of Speech,Example Sentence (Japanese),Example Sentence (English),Example Sentence (Romaji),Notes
1, いいえ           , いいえ     , iie     , No                      , Interjection   , いいえ、違います。               ," No, that's not right.                         "," iie, chigaimasu.                         "," Basic way to say ""no""                                  "
2, 同じ             , おなじ     , onaji   , Same                    , Adjective      , 私たちは同じクラスです。         , We are in the same class.                     , watashitachi wa onaji kurasu desu.       , Used to describe similarity                            
3, 会社             , かいしゃ   , kaisha  , Company                 , Noun           , 彼は大きな会社で働いています。   , He works at a large company.                  , kare wa ookina kaisha de hataraiteimasu. , Refers to a business organization                      
4, 仕事             , しごと     , shigoto , Work                    , Noun           , 仕事が終わりました。             , Work is finished.                             , shigoto ga owarimashita.                 , Refers to employment or tasks                          
5, 資料             , しりょう   , shiryoo , Information/Materials   , Noun           , この資料を見てください。         , Please look at this material.                 , kono shiryoo o mite kudasai.             , Refers to documents or data                            
6, 雑誌             , ざっし     , zasshi  , Magazine                , Noun           , 新しい雑誌を買いました。         , I bought a new magazine.                      , atarashii zasshi o kaimashita.           , Refers to magazines or periodicals                     
7, 新聞             , しんぶん   , shimbun , Newspaper               , Noun           , 朝に新聞を読みます。             , I read the newspaper in the morning.          , asa ni shinbun o yomimasu.               , Refers to daily or weekly newspapers                   
8, 写真             , しゃしん   , shashin , Photograph              , Noun           , その写真は美しいです。           , That photograph is beautiful.                 , sono shashin wa utsukushii desu.         , Refers to photographs or pictures                      
9, 傘               , かさ       , kasa    , Umbrella                , Noun           , 雨が降るから傘を持っていきます。 , I will take an umbrella because it's raining. , ame ga furu kara kasa o motte ikimasu.   , Refers to an umbrella for rain                         
10, 鞄               , かばん     , kaban   , Bag                     , Noun           , この鞄はとても重いです。         , This bag is very heavy.                       , kono kaban wa totemo omoi desu.          , Refers to bags or briefcases                           
11, 明日             , あした     , ashita  , Tomorrow                , Noun           , 明日、会いましょう。             , Let's meet tomorrow.                          ," ashita, aimashoo.                        ", Refers to the day after today                          
12, ああ             , ああ       , aa      , Ah!/Oh!                 , Interjection   , ああ、もう遅いですね。           ," Ah, it's already late.                        "," aa, mou osoi desu ne.                    ", Expresses surprise or realization                      
13, どうぞ           , どうぞ     , doozo   , Please/Here you are     , Expression     , どうぞ、お入りください。         ," Please, come in.                              "," doozo, o hairi kudasai.                  ", Used to offer something or invite                      
14, 入る             , はいる     , hairu   , To enter                , Verb           , 彼は部屋に入ります。             , He enters the room.                           , kare wa heya ni hairimasu.               , Refers to entering a place                             
15, お茶             , おちゃ     , ocha    , Tea                     , Noun           , お茶を一杯どうぞ。               , Please have a cup of tea.                     , ocha o ippai doozo.                      , Refers to Japanese tea                                 
16, 水               , みず       , mizu    , Water                   , Noun           , 水をください。                   , Please give me water.                         , mizu o kudasai.                          , Refers to drinking water                               
17, 紅茶             , こうちゃ   , koocha  , Black tea               , Noun           , 紅茶を飲みます。                 , I drink black tea.                            , koocha o nomimasu.                       , Refers to tea that is not green                        
18, ジュース         , ジュース   , juusu   , Juice                   , Noun           , フルーツジュースが好きです。     , I like fruit juice.                           , furuutsu juusu ga sukidesu.              , Refers to fruit or vegetable juice                     
19, この             , この       , kono    , This                    , Demonstrative  , この本を見てください。           , Please look at this book.                     , kono hon o mite kudasai.                 , Used to refer to something close to the speaker        
20, その             , その       , sono    , That                    , Demonstrative  , その映画は面白かったです。       , That movie was interesting.                   , sono eiga wa omoshirokatta desu.         , Used to refer to something close to the listener       
21, あの             , あの       , ano     , That... (over there)    , Demonstrative  , あの店で買いました。             , I bought it at that store.                    , ano mise de kaimashita.                  , Used for something far from both speaker and listener  
22, どの             , どの       , dono    , Which                   , Interrogative  , どの本が一番好きですか？         , Which book do you like best?                  , dono hon ga ichiban sukidesuka?          , Used to ask for a specific item from a known group     
23, これ             , これ       , kore    , This                    , Demonstrative  , これをください。                 , Please give me this.                          , kore o kudasai.                          , Refers to something close to the speaker               
24, それ             , それ       , sore    , That                    , Demonstrative  , それは私のものです。             , That is mine.                                 , sore wa watashi no mono desu.            , Refers to something close to the listener              
25, あれ             , あれ       , are     , That (thing over there) , Demonstrative  , あれは何ですか？                 , What is that over there?                      , are wa nan desuka?                       , Refers to something far from both speaker and listener 
26, どれ             , どれ       , dore    , Which                   , Interrogative  , どれが一番好きですか？           , Which one do you like best?                   , dore ga ichiban sukidesuka?              , Used to ask which item from a set                      
27, 人               , ひと       , hito    , Human/People            , Noun           , 人が多いです。                   , There are many people.                        , hito ga ooi desu.                        , Refers to individuals or people                        
28, 母               , はは       , haha    , Mom (your own mother)   , Noun           , 母は料理が得意です。             , My mom is good at cooking.                    , haha wa ryouri ga tokui desu.            , Used when referring to your own mother                 
29, お母さん         , おかあさん , okaasan , Mother (someone else's) , Noun           , お母さんは優しいです。           , Your mother is kind.                          , okaasan wa yasashii desu.                , Used when referring to someone else's mother           
30, 綺麗             , きれい     , kiree   , Beautiful               , Adjective      , この花はとても綺麗です。         , This flower is very beautiful.                , kono hana wa totemo kiree desu.          , Used to describe something visually pleasing           
31, 弟               , おとうと   , otooto  , Younger brother       , Noun           , 弟はまだ学生です。           , My younger brother is still a student.       , ototo wa mada gakusei desu.        , Refers to one's younger brother               
32, 家族             , かぞく     , kazoku  , Family                , Noun           , 家族で旅行に行きます。       , We are going on a trip with the family.      , kazoku de ryokou ni ikimasu.       , Refers to one's family                        
33, 何人             , なんにん   , nannin  , How many people       , Question word  , パーティーには何人来ますか？ , How many people are coming to the party?     , paatii ni wa nannin kimasu ka?     , Used to ask about the number of people        
34, 兄               , あに       , ani     , Elder brother         , Noun           , 兄は医者です。               , My elder brother is a doctor.                , ani wa isha desu.                  , Refers to one's elder brother                 
35, お兄さん         , おにいさん , oniisan , Elder brother         , Noun           , お兄さんはどこですか？       , Where is your elder brother?                 , oniisan wa doko desuka?            , Used to refer to someone else's elder brother 
36, 父               , ちち       , chichi  , Father (my own)       , Noun           , 父は毎日働いています。       , My father works every day.                   , chichi wa mainichi hataraiteimasu. , Refers to one's own father                    
37, 全部             , ぜんぶ     , zembu   , All                   , Pronoun        , 全部で十人です。             , There are ten people in total.               , zembu de juu nin desu.             , Refers to everything or all items             
38, 妻               , つま       , tsuma   , Wife (my own)         , Noun           , 妻は料理が得意です。         , My wife is good at cooking.                  , tsuma wa ryouri ga tokui desu.     , Refers to one's own wife                      
39, 奥さん           , おくさん   , okusan  , Wife (someone else's) , Noun           , 奥さんは優しいです。         , Your wife is kind.                           , okusan wa yasashii desu.           , Refers to someone else's wife                 
40, 二人             , ふたり     , futari  , Two people            , Noun           , 二人で映画を見に行きます。   , We will go to watch a movie with two people. , futari de eiga o mi ni ikimasu.    , Used to specify two people                    
41, 十               , じゅう     , juu     , Ten                   , Number         , 十時に会いましょう。         , Let's meet at ten o'clock.                   , juu ji ni aimashou.                , Refers to the number ten                      
42, 百               , ひゃく     , hyaku   , Hundred               , Number         , 百円のコーヒーを買いました。 , I bought a coffee for a hundred yen.         , hyaku en no koohii o kaimashita.   , Refers to the number hundred                  
43, 千               , せん       , sen     , Thousand              , Number         , 千円を持っています。         , I have a thousand yen.                       , sen en o motteimasu.               , Refers to the number thousand                 
44, 万               , まん       , man     , Ten thousand          , Number         , 万円の家を買いました。       , I bought a house for ten million yen.        , man en no ie o kaimashita.         , Refers to the number ten thousand             
45, と               , と         , to      , And/With              , Conjunction    , りんごとバナナを買いました。 , I bought apples and bananas.                 , ringo to banana o kaimashita.      , Used to connect nouns or phrases              
46, 誰               , だれ       , dare    , Who                   , Question word  , 誰が来るのですか？           , Who is coming?                               , dare ga kuru no desuka?            , Used to ask about someone's identity          
