Année du BOPI,Numéro de pages du BOPI,Lettres alphabétiques,Chiffres des marques,Dénomination des marques,Emblême,Numéro de classe,Numéro des pages correspondantes,ERRATA,Numéro de la marque,Renonciation totale,Renonciation partielle
1922,57,A,,A,,,,,,,
1922,57,A,,A (Cire),,33,10,,,,
1922,57,A,,A.,,47,13,,,,
1922,57,A,,A,,68,290,,,,
1922,57,A,,A,,8,791,,,,
1922,57,A,,A. (Désinfectant).,,79,1247,,,,
1922,57,A,,A dans un cercle sur une cloche (Dessin),,13,1455,,,,
1922,57,A,,A A (Cire).,,33,10,,,,
1922,57,A,,A. A,,47,13,,,,
1922,57,A,,AA,,40,112,,,,
1922,57,A,,A. A. dans un cor de chasse (Dessin),,28,1821,,,,
1922,57,A,,A A Adhérente Décalco,,72,1539,,,,
1922,57,A,,A. A Paris sur une étoile (Dessin).,,72,1847,,,,
1922,57,A,,A A A (Cire),,33,10,,,,
1922,57,A,,A. A. A. ,,11,1086,,,,
1922,57,A,,A A A A (Cire).,,33,10,,,,
1922,57,A,,A A A A A,,11,1086,,,,
1922,57,A,,A.B. dans un écusson (Dessin).,,62,870,,,,
1922,57,A,,A.B. sur un écusson (Dessin).,,11,1000,,,,
1922,57,A,,A.B. (Pédale).,,25,1697,,,,
1922,57,A,,Abadie,,59,1794,,,,
1922,57,A,,id.,,59,1794,,,,
1922,57,A,,Abadie avec desnis,,59,1795,,,,
1922,57,A,,Abadie,,59,1796,,,,
1922,57,A,,Abadie Antinikotin,,59,1794,,,,
1922,57,A,,Abadie Flor,,59,1795,,,,
1922,57,A,,Abadie Laily,,59,1794,,,,
1922,57,A,,Abafine.,,79,1079,,,,
1922,57,A,,A. Barles,,65,1640,,,,
1922,57,A,,A. Bartels & Co.,,68,1316,,,,
1922,57,A,,Abastra,,9,1623,,,,
1922,57,A,,Abbaye (Coton à l’) avec dessin.,,47,197,,,,
1922,57,A,,Abbaye (Camembert de l’) avec dessin.,,64,722,,,,
1922,57,A,,Abbaye (Distillerie de Genièvre de l’),,68,1108,,,,
1922,57,A,,Abbaye de Bonlieu,,66,468,,,,
1922,57,A,,Abbaye de Bonneval (Véritable liqueur des anciens moines de l’),,68,626,,,,
1922,57,A,,Abbaye Bran tôme (Liqueur de l’),,68,732,,,,
1922,57,A,,Abbaye de Cluny.,,66,467,,,,
1922,57,A,,Abbaye de Jumièges (Chocolat de l’),,66,1100,,,,
1922,57,A,,Abbaye de Poissy (Liqueur de l’).,,68,249,,,,
1922,57,A,,Abbaye Saint-Amand (Liqueur fabriquée anciennement à l’). sur une bouteille,,68,839,,,,
1922,57,A,,Abbaye de Saint-Benoît (Confisérié de l’),,66,1799,,,,
1922,57,A,,Abbaye de Saint Hilaire,,68,163,,,,
1922,57,A,,Abbaye de Saint Hilaire (Marc de l’),,68,1501,,,,
1922,57,A,,Abbaye de Saint Jean des Vignes (Produits de l’) avec dessin,,62,1378,,,,
1922,57,A,,Abbaye de Saint-Romain (Chocolat de l’),,66,695,,,,
1922,57,A,,Abbaye de Saint-Romble (Chocolat de l’).,,66,695,,,,
1922,57,A,,Abbaye de Saint-Wandrille (Chocolat de l’),,66,1100,,,,
1922,57,A,,Abbaye de Sainte-Marie du Mont,,64,763,,,,
1922,57,A,,Abbaye de Solignac (Chocolat de l’),,66,953,,,,
1922,57,A,,Abbaye de Theuley (Insecticide de l’),,70,1446,,,,
1922,57,A,,Abbé (Insecticide liquide foudroyant),,70,1417,,,,
1922,57,A,,Abbé Andreu (Œuvres des vins de Messe par l’),,68,524,,,,
1922,57,A,,*Abbé Brantôme (Cachets de l’).,,60,546,,,,
1922,57,A,,*Abbé Brantôme (Liniment de l’).,,60,547,,,,
1922,57,A,,Abbé Delarue (L’),,79,1483,,,,
1922,57,A,,Page réelle.,,79,1573,,,,
1922,57,A,,Abbé François (Liqueurs de l’).,,68,324,,,,
1922,57,A,,Abbé Soury (L’).,,79,1483,,,,
1922,57,A,,Page réelle.,,79,1573,,,,
1922,57,A,,Abbés Martin (Huile de table des) avec dessin.,,64,1408,,,,
1922,57,A,,A. B. C,,22,1627,,,,
1922,57,A,,id.,,14,1816,,,,
1922,57,A,,A. B. C. sur une ancre (Dessin).,,62,1064,,,,
1922,57,A,,Abegy (Café).,,67,1237,,,,
1922,57,A,,Abeille (A l’) avec dessin,,32,8,,,,
1922,57,A,,Abeille (Camembert de l’) avec dessin,,64,835,,,,
1922,57,A,,Abeille (Dessin).,,8,851,,,,
1922,57,A,,id.,,49,910,,,,
1922,57,A,,Abeille (L’) avec dessin,,66,1068,,,,
1922,57,A,,Abeille (Lessive à l’) avec dessin.,,14,1295,,,,
1922,57,A,,Abeille (Cycles l’) avec dessin,,25,1298,,,,
1922,57,A,,Abeille (Dessin).,,33,1464,,,,
1922,57,A,,Page réelle.,,,1554,,,,
1922,57,A,,Abeille (Dessin).,,75,1508,,,,
1922,57,A,,id.,,16,1518,,,,
1922,57,A,,Abeille (L’) avec dessin.,,66,1607,,,,
1922,58,A,,Abeille (Dessin).,,68,1649,,,,
1922,58,A,,Abeille avec dessin,,21,1819,,,,
1922,58,A,,Abeille (Dessin) avec M. D,,69,958,,,,
1922,58,A,,Abeille Algé rienne (L’) avec dessin,,14,1426,,,,
1922,58,A,,Abeille d’Avesnes (L’).,,66,520,,,,
1922,58,A,,Abeilles (Cire) avec dessin.,,33,231,,,,
1922,58,A,,Abeilles dans un écusson couronné entouré d’épis (Trois) (Dessin),,66,1101,,,,
1922,58,A,,Abeilles sur une bouteille (Dessin),,68,1801,,,,
1922,58,A,,Abeilles de l’Hymette (Aux).,,66,1310,,,,
1922,58,A,,Abeilles marguerite et vierge tenant l’enfant Jésus dans un écusson couronné (Dessin).,,68,250,,,,
1922,58,A,,Abéka.,,58,868,,,,
1922,58,A,,Abel Porte.,,68,1538,,,,
1922,58,A,,Abelé (H.),,68,51,,,,
1922,58,A,,A. Bergis & Co (Champagne).,,68,1680,,,,
1922,58,A,,A. B. C,,25,452,,,,
1922,58,A,,id.,,25,453,,,,
1922,58,A,,Abiétine,,79,98,,,,
1922,58,A,,Abietyl,,79,701,,,,
1922,58,A,,Ablactine,,79,177,,,,
1922,58,A,,Ablactose,,79,176,,,,
1922,58,A,,Ablette (Fine).,,68,401,,,,
1922,58,A,,A. B. M. dans un triangle (Dessin).,,8,1579,,,,
1922,58,A,,Page réelle.,,,1589,,,,
1922,58,A,,A. Bonnet’s Delicious peas avec dessin.,,62,870,,,,
