Année du BOPI,Numéro de pages du BOPI,Lettres alphabétiques,Noms des déposants,Numéro de classe,Numéro des pages correspondantes,ERRATA,Numéro de la marque,Renonciation totale,Renonciation partielle
1922,5,A,Aachener Thermalwasser Kaiserbrunnen A G (Société),[888],,,,,
1922,5,A,Abadie (Mlle M.L.),[584],,,,,
1922,5,A,Abadie (Société anonyme des Papiers),"[1088, 1737, 1793, 1794, 1795, 1796]",,,,,
1922,5,A,Abadie Léotard (E.),"[506, 538]",,,,,
1922,5,A,Abbat (G.) & Guenet (M.),[1464],,,,,
1922,5,A,Page réelle.,[1554],,,,,
1922,5,A,Abbond (R.V.).,[970],,,,,
1922,5,A,Abécassis frères (C. &F.),[852],,,,,
1922,5,A,Abel-Bresson (Société anonyme Établissements).,[887],,,,,
1922,5,A,Abélé (H.),[51],,,,,
1922,5,A,Abélès (H.),[1470],,,,,
1922,5,A,Page réelle.,[1560],,,,,
1922,5,A,Abrabam & Straus (Société),[277],,,,,
1922,5,A,Abramovici (E.).,[2],,,,,
1922,5,A,Abramovici (S.A.),[189],,,,,
1922,5,A,Abric (L.),[1165],,,,,
1922,5,A,Abt (T.),[1586],,,,,
1922,5,A,Page réelle.,[1596],,,,,
1922,5,A,Accessoires pour Automobiles et Carrosseries (Société anonyme d’),"[1584, 1594]",,,,,
1922,5,A,Accumulatoren Fabrik Aktiengesellschaft (Société).,[5],,,,,
1922,5,A,Acétyl (Société anonyme l’),[1582],,,,,
1922,5,A,Page réelle.,[1592],,,,,
1922,5,A,Achar et autres (Société).,"[1644, 1645]",,,,,
1922,5,A,Acquerin (E.),[79],,,,,
1922,5,A,Actien Gesellschaft für Anilin Fabrikation (Société).,[893],,,,,
1922,5,A,Adam (L.),[893],,,,,
1922,5,A,Adam et Gonot (Société),[1052],,,,,
1922,5,A,Adam-Probst (C. N.),[505],,,,,
1922,5,A,"Adam, Raphaël & Cie (Société)",[587],,,,,
1922,5,A,Adeline (E.),[1305],,,,,
1922,5,A,Adenis (C.L.),[537],,,,,
1922,5,A,"Adet, Seward & Cie ",[473],,,,,
1922,5,A,Adjustable Clamp Company (Société),[1817],,,,,
1922,5,A,Adnet (Société Les Verreries),[1048],,,,,
1922,5,A,Adopt G. m. b H. (Société),[1428],,,,,
1922,5,A,Adout Behar Sinaï (Société).,[273],,,,,
1922,5,A,Adremä Lucien Muller-Frossard Raison sociale). ,[905],,,,,
1922,5,A,Adrian & Cie (Anciennement). ,[1113],,,,,
1922,5,A,Aélion & Cie (Société Henri). ,"[854, 1815]",,,,,
1922,5,A,"Aélion Company, Société anonyme française (Société The)",[1749],,,,,
1922,5,A,Aéolian Co Limited (Société The). ,[1221],,,,,
1922,5,A,"Aéolian C° (Société < ?>ciété anonyme française, Société The)",[1323],,,,,
1922,5,A,Aéolian Hall,[1221],,,,,
1922,5,A,Aermotor C° (Raison sociale),[1754],,,,,
1922,5,A,Agence Havas (Société),[1212],,,,,
1922,5,A,"Ageron, Reynaud & Cie",[1634],,,,,
1922,5,A,Agliani (V.) & Villanova (G.),[1811],,,,,
1922,5,A,Agnès (dame veuve Émile). ,"[1124, 1148]",,,,,
1922,5,A,Agostini & Williard (Société).,[421],,,,,
1922,5,A,Agrech (dame Louise),[1306],,,,,
1922,5,A,"Aguerre, Chariol & Cie.",[1538],,,,,
1922,5,A,Aguttes (A.). ,[1847],,,,,
1922,5,A,Ahrend & fils (Établissements veuve J.),[267],,,,,
1922,5,A,Aichard (Jean) & Passet frères (Société),[1759],,,,,
1922,5,A,Aillaud & Sabatier (Société),[888],,,,,
1922,5,A,Aimé Ricard Digne (dame veuve). ,[756],,,,,
1922,5,A,Air Way Electric appliance Corporation (Société). ,[1479],,,,,
1922,5,A,Aisenberg (Volf). ,[595],,,,,
1922,5,A,Aivazian (B.),[468],,,,,
1922,5,A,A.J.W. Watelet & Cie (Société anonyme). ,[1040],,,,,
1922,5,A,Aktiebolaget Mox (Société),[222],,,,,
1922,5,A,Aktiebolaget Robo (Société),[1296],,,,,
1922,5,A,Aktiebolaget Salénius Werkstäder (Société),[1125],,,,,
1922,5,A,Aktienbrauerei zum Lôwenbraü In München (Société),[1208],,,,,
1922,5,A,Aktiengesellschaft der Harlan der Baumsvoll Spinnereifund Zwirn Fabrik (Société). ,[862],,,,,
1922,5,A,Aktien Gesellschaft fur anilin Fabrikation (Société). ,[1326],,,,,
1922,5,A,Aktieselskapet Freia Chocolade Fabrik (Société). ,[983],,,,,
1922,5,A,Alamargot (L.). ,[1457],,,,,
1922,5,A,"Alary (Victor), Guilhem & Cie. ","[446, 466, 481]",,,,,
1922,5,A,Alban (H. & L.). ,"[243, 244]",,,,,
1922,5,A,Alban (L. & H.). ,"[395, 463, 1170]",,,,,
1922,5,A,Albert (L.),[667],,,,,
1922,5,A,Albert (A.) & Froissart (Société),[77],,,,,
1922,5,A,Alberti (Société anonyme Le trancheur),[1221],,,,,
1922,5,A,Albrand (E.),[714],,,,,
1922,5,A,Albright & Wilson Limited (Société),[1454],,,,,
1922,5,A,Alcaraz (E.) & Suné (M.),[1407],,,,,
1922,5,A,Aldrin & Griffe (Société),[240],,,,,
1922,5,A,Alexander (Société A. & J.),[1707],,,,,
1922,5,A,Alexandre (F.A.). ,[1755],,,,,
1922,5,A,Alézard (C.). ,"[1324, 1325, 1367]",,,,,
1922,5,A,Alézard (C.) & Goubeau (R.M.R),[1187],,,,,
1922,5,A,Alézard (C.) & Rosenthal (G.),[1324],,,,,
1922,5,A,Alfa-Laval (Société),[1088],,,,,
1922,5,A,Algarve Exportador Limitida. ,[1099],,,,,
1922,5,A,Algranate (R.),"[607, 1487]",,,,,
1922,5,A,Alilaire (E.L.). ,[1615],,,,,
1922,5,A,Aliment Essentiel (Société l’),[1234],,,,,
1922,5,A,Alimentation Française (Société anonyme l’),[5],,,,,
1922,5,A,Alingrin (L.F.G.). ,[522],,,,,
1922,5,A,Alioth (M.) & Cie. ,[156],,,,,
1922,5,A,Alix (dame Colomba Marie - Louise),[1379],,,,,
1922,5,A,Allaert (V.),[1062],,,,,
1922,5,A,Allain (L.),[893],,,,,
1922,5,A,Allainguillaume (L.J.),[340],,,,,
1922,5,A,Allair & Lecat (Société),[124],,,,,
1922,5,A,Allard (J.),[153],,,,,
1922,5,A,Allary Poitevin (dame),[512],,,,,
1922,5,A,Allcock & Cie (S.) ,[692],,,,,
1922,5,A,Alleaume (A.E.). ,[1066],,,,,
1922,5,A,"Allègre, Mondon & Cie","[561, 1631]",,,,,
1922,5,A,Allemand (F.). ,"[662, 1604]",,,,,
1922,5,A,Allen & Hanburys Limited. ,"[13, 211, 326]",,,,,
1922,5,A,"Allenet, Ricard & Cie (Société). ",[1251],,,,,
1922,5,A,Allenot (C.),[1688],,,,,
1922,5,A,Allex (dame R.).,[1679],,,,,
1922,5,A,Alliance Industrielle Française (Société anonyme l’),[301],,,,,
1922,5,A,Alliance Oléicole Niçoise et Alimentaire du Sud-Est (Société anonyme),[805],,,,,
1922,5,A,Allier (R.G.),[393],,,,,
1922,5,A,Allier (A.),[1007],,,,,
1922,5,A,Alligre (E.).,"[392, 1009]",,,,,
1922,5,A,Allirot (J.),[281],,,,,
1922,5,A,Alloin (E.),[1657],,,,,
1922,5,A,Alloncius (C.H.).,[135],,,,,
1922,5,A,Allonsius & Henry (Société),[239],,,,,
1922,5,A,Allopeau (J.A.).,[1507],,,,,
1922,5,A,"Alloy, Welding Proccesses Limited (Société dite) ",[1331],,,,,
1922,5,A,Allumettes Caussemille jeune & Cie (Société anonyme des),[1624],,,,,
1922,5,A,Allwin Société Établissements). ,[711],,,,,
1922,5,A,Alma (F.),[598],,,,,
1922,5,A,Almela (V.),[1261],,,,,
1922,5,A,Alonso G.) & Alonso (L.),[838],,,,,
1922,5,A,Alonso (L.) & Alonso (G.),[838],,,,,
1922,5,A,Alpco Pencils Limited (Société).,[1748],,,,,
1922,5,A,Alpi & Cie (Société).,[1819],,,,,
1922,5,A,Alquier (A.L.). ,[1040],,,,,
1922,5,A,"Alsina, Leprince &. Cie",[331],,,,,
1922,5,A,Altmann (J.),[1664],,,,,
1922,5,A,Alvarez et autres (Société),[1790],,,,,
1922,5,A,Alzina (G.).,[984],,,,,
1922,5,A,Amalberte (P.).,[1364],,,,,
1922,5,A,Amand (R.).,[1585],,,,,
1922,5,A,Page réelle.,[1595],,,,,
1922,5,A,Amanieux (J.),"[804, 1657]",,,,,
1922,5,A,Amarger (E.),[1579],,,,,
1922,5,A,Amat (P.),[368],,,,,
1922,5,A,Ambal (J.),[73],,,,,
1922,5,A,Ambal,"[404, 1501]",,,,,
1922,5,A,Ambal (dame veuve),[1746],,,,,
1922,5,A,Amblard (L.),[665],,,,,
1922,5,A,Amblard (J.),[813],,,,,
1922,5,A,Amédée Lestrade (Raison sociale). ,[1298],,,,,
1922,5,A,Amelung (G.) & Haudy (J.),[1456],,,,,
1922,5,A,Américan Chain Co Inc. (Société). ,[830],,,,,
1922,5,A,American Cotton Oil Company (Société the). ,"[34, 35, 47]",,,,,
1922,5,A,American Fork & Hoe C° (Société The),[496],,,,,
1922,5,A,American Lead Pencil C°,[843],,,,,
1922,5,A,American Lead Pencil C° (The). ,[958],,,,,
1922,5,A,American Milk Products Corporation (Société dite),[465],,,,,
1922,5,A,American Printing Company (Société),[975],,,,,
1922,5,A,American Sheet and Tin Plate Co (Société),[66],,,,,
1922,5,A,American Trona Corporation,[1580],,,,,
1922,5,A,Page réelle. ,[1590],,,,,
1922,5,A,Amérigo (E.),[1667],,,,,
1922,5,A,Amiaud (P.),[1481],,,,,
1922,5,A,Amidonnerie et Rizerie de France (Société anonyme des),"[34, 332]",,,,,
1922,5,A,Amieux frères & Cie (Société). ,"[2, 3, 118, 119, 122, 569, 573]","761, 766, 767, 768, 769, 915, 1311, 1437, 1438, 1440, 1446, 1740",,,,
1922,5,A,Amiot (E.D.),[1170],,,,,
1922,5,A,Amiot (Société veuve),[1500],,,,,
1922,5,A,Amore (A.),[674],,,,,
1922,5,A,Amoudruz (A.).,"[182, 183]",,,,,
1922,5,A,Amour (R.),[1368],,,,,
1922,5,A,Amouroux (L.L.).,[1848],,,,,
1922,5,A,Amselem,[756],,,,,
1922,5,A,Amson & fils,[934],,,,,
1922,5,A,Amstutz & Sandoz (Société < ?>sircoulon),[1698],,,,,
1922,5,A,Anastay (F.),[571],,,,,
1922,5,A,Ancel (A.).,"[1023, 1641, 1800]",,,,,
1922,5,A,Ancel (Société anonyme Vulliod.,[389],,,,,
1922,5,A,"Ancelin (E.),",[551],,,,,
1922,5,A,Ancienne société à responsabilité limitée Rœder & Cie,[578],,,,,
1922,5,A,Ancilloti (E.),[45],,,,,
1922,5,A,Ancilloti & Cie (Société),[1775],,,,,
1922,6,A,Ancilotti & Lacreusette (Société),[1816],,,,,
1922,6,A,Anderson Company (Société dite : The V.D.).,[73],,,,,
1922,6,A,Andraud (G.),[793],,,,,
1922,6,A,"André, (F.A.).","[138, 1186]",,,,,
1922,6,A,André (H.P.),[269],,,,,
1922,6,A,André (H.),[1424],,,,,
1922,6,A,André fils (Société anonyme A.).,"[143, 826]",,,,,
1922,6,A,André & Héraud (Maison),[1817],,,,,
1922,6,A,Andreas Karstad.,[1296],,,,,
1922,6,A,Andreau (Sources),[365],,,,,
1922,6,A,Andreis Métalgraf Espanola (Société G. de),[1474],,,,,
1922,6,A,Andréo (A.),[241],,,,,
1922,6,A,Andres (E.),[602],,,,,
1922,6,A,"Andrieux, Vilmorin & Cie (Société)",[1424],,,,,
1922,6,A,Andrin (J.).,"[803, 1603]",,,,,
1922,6,A,Andrivon (M.).,[1657],,,,,
1922,6,A,Androdias (A.).,"[387, 714]",,,,,
1922,6,A,Andry (G.),[1812],,,,,
1922,6,A,Andy (J.B.),[732],,,,,
1922,6,A,Ané (L.).,"[552, 709, 968]",,,,,
1922,6,A,Anfray (G.),[1113],,,,,
1922,6,A,Anfray & Gautier (Société),[282],,,,,
1922,6,A,Anfrie (J.),[273],,,,,
1922,6,A,Anfry & Falcimaigne (Société).,[717],,,,,
1922,6,A,Anger (L.),[115],,,,,
1922,6,A,Angiblis (D.),[716],,,,,
1922,6,A,Anglade (M.).,[508],,,,,
1922,6,A,Anglo - American Pharmaceutical Company Limited Raison sociale),[1811],,,,,
1922,6,A,Anglo - Continental Supply C° Limited,[1160],,,,,
1922,6,A,Angot (J.H.),[90],,,,,
1922,6,A,Angot (H.),[1029],,,,,
1922,6,A,Angot & Penanhoat,[1797],,,,,
1922,6,A,Angst (G.),[4],,,,,
1922,6,A,Anguenot (L.).,[1583],,,,,
1922,6,A,Page réelle.,[1593],,,,,
1922,6,A,Anguenot & Cie (V.),[228],,,,,
1922,6,A,Anjou (F.) & Bouchardon (V.).,[994],,,,,
1922,6,A,Annebicque (A.).,[1756],,,,,
1922,6,A,Anselm & Noth (Firme dite : Pharmacie de la Vierge),[792],,,,,
1922,6,A,Anthérieu (V.).,[1477],,,,,
1922,6,A,Page réelle.,"[1567, 1746]",,,,,
1922,6,A,Antier (P.) &. Pomarel (Raison sociale),[472],,,,,
1922,6,A,Antoinat (G.),[1827],,,,,
1922,6,A,Antoine (P.),[216],,,,,
1922,6,A,Antoine et autres (Société Établissements),"[857, 939, 1222]",,,,,
1922,6,A,Antunes Da Silva.,[1065],,,,,
1922,6,A,Apollinaris Company Limited (Société The).,[1846],,,,,
1922,6,A,Appelboom (P.A. F.),[629],,,,,
1922,6,A,Appert frères,[1340],,,,,
1922,6,A,Applications de l’incandescence et de la Luminescence électrique (Société Anonyme pour les).,[1626],,,,,
1922,6,A,Appoullot (L.).,[1245],,,,,
1922,6,A,Aquarone (J.B.).,[1039],,,,,
1922,6,A,Aranovitch (I.).,[1265],,,,,
1922,6,A,Arboy (B.),[1267],,,,,
1922,6,A,Archimbaud & Fonteix,[1340],,,,,
1922,6,A,Ardath Tobacco Cie Limited,[1490],,,,,
1922,6,A,Ardouin (P.),[1311],,,,,
1922,6,A,Arensberg (Ch. F. C.) et autres (Société),[1348],,,,,
1922,6,A,Argentine Compania Swift de la Plata (Société anonyme).,[1446],,,,,
1922,6,A,Argod et autres.,[833],,,,,
1922,6,A,Ariès (dame J.M. J.),[1866],,,,,
1922,6,A,"Arlabosse, Conféron & Cie (Société)",[1869],,,,,
1922,6,A,Arlaud (P.),[1476],,,,,
1922,6,A,Arlaud (E.),[1630],,,,,
1922,6,A,Armand (M.),[541],,,,,
1922,6,A,Armand (E.M.).,[1629],,,,,
1922,6,A,Armand (F.),[1646],,,,,
1922,6,A,Armand & Cie(Maison),[89],,,,,
1922,6,A,Armand Saint-Vel (dame veuve A.).,[1461],,,,,
1922,6,A,Armengaud (dame veuve J.),[1729],,,,,
1922,6,A,Armingeat (G.),"[98, 408]",,,,,
1922,6,A,Armour and Company (Société).,[660],,,,,
1922,6,A,Armstrong Manufacturing C° (Raison sociale The).,[71],,,,,
1922,6,A,Arnal (C.U.),[764],,,,,
1922,6,A,Arnal (A.E.),[1776],,,,,
1922,6,A,Arnaud (F.),[1168],,,,,
1922,6,A,Arnaud (J.),[365],,,,,
1922,6,A,Arnaud (A.),[1525],,,,,
1922,6,A,Arnaud père & fils.,[192],,,,,
1922,6,A,"Arnaud, Soly & Cie",[1298],,,,,
1922,6,A,Arné (F.),[773],,,,,
1922,6,A,Arneau (H.).,"[431, 766, 916]",,,,,
1922,6,A,Arnold & Cie (F.R.),[1098],,,,,
1922,6,A,Arnould (dame L.),[1129],,,,,
1922,6,A,Arnoux (J.G.).,[1589],,,,,
1922,6,A,Page réelle.,[1599],,,,,
1922,6,A,Aronovici (S.).,[756],,,,,
1922,6,A,Arquembourg & Grouvelle (Société anonyme des anciens Etablissements).,[1198],,,,,
1922,6,A,Arrachart (G.).,[904],,,,,
1922,6,A,Arrès - Lapoque (M.),[1188],,,,,
1922,6,A,Arreule (P.),[1223],,,,,
1922,6,A,Arsac & Descours (Raison sociale).,[1229],,,,,
1922,6,A,Arsaut (F.),[1582],,,,,
1922,6,A,Page réelle.,[1592],,,,,
1922,6,A,Arséguel (A.),[552],,,,,
1922,6,A,Arthur (Nina).,[758],,,,,
1922,6,A,Arthur (demoiselle G.L.),[758],,,,,
1922,6,A,Arthur Balfour & C° Limired (Société dite),[66],,,,,
1922,6,A,Artzet (G.R.),[1481],,,,,
1922,6,A,Page réelle.,[1571],,,,,
1922,6,A,Arys (Société anonume des parfums d').,"[432, 658]",,,,,
1922,6,A,Ash Sons & C° Limited (Societé Glaudius),[216],,,,,
1922,6,A,Asiatic Petroleum C° Limited (Société dite The).,"[222, 852, 1858]",,,,,
1922,6,A,Asquasciati (Société H. & B.). ,[517],,,,,
1922,6,A,Asquascutum Limited (Société).,[605],,,,,
1922,6,A,Asselain & Sergent (Société).,[1768],,,,,
1922,6,A,Asséo (E.),[1088],,,,,
1922,6,A,Assier (A.),[1128],,,,,
1922,6,A,Assis (A.),[280],,,,,
1922,6,A,Asso (L.),[53],,,,,
1922,6,A,Associated Portland Cement Limited (The). ,[712],,,,,
1922,6,A,Associated Radium Chemists Inc. (Société),[1811],,,,,
1922,6,A,Association dite : “ Œuvre de l’Assistance par lé travail de Fontainebleau ».,[1088],,,,,
1922,6,A,Association en participation Depoorter & Rency.,[348],,,,,
1922,6,A,Association pour la rééducation professionnelle des mutilés,[280],,,,,
1922,6,A,Asthon - Clarke (dame M.H.).,"[736, 737, 1113]",,,,,
1922,6,A,Astier (P.P.P.).,[1810],,,,,
1922,6,A,Astier (E.) & Quiot (P.),[1536],,,,,
1922,6,A,Astruc (demoiselle F.).,[1280],,,,,
1922,6,A,Astruc (M.),[1670],,,,,
1922,6,A,A. Sui,[196],,,,,
1922,6,A,Atanoux (M.),[612],,,,,
1922,6,A,Atelier de Construction d’appareils électriques pour le chauffage Léon Fastinger (Maison),[1664],,,,,
1922,6,A,Ateliers de Constructions Electriques de Boulogne-sur-Seine.,[1295],,,,,
1922,6,A,Ateliers de mécanique industrielle constructions mécaniques (Société anonyme).,[188],,,,,
1922,6,A,Ateliers du Nord (Société anonyme des),[1463],,,,,
1922,6,A,Page réelle.,[1553],,,,,
1922,6,A,Ateliers d’Optique et de mécanique,[1078],,,,,
1922,6,A,Athenstaedt & Redeker (Société).,[177],,,,,
1922,6,A,"Atlas, Métal & Alloys C° Limited (The)",[1120],,,,,
1922,6,A,Attuyer P.),[1096],,,,,
1922,6,A,Aubaut (A.),[424],,,,,
1922,6,A,Aubel (A.),[1526],,,,,
1922,6,A,Aubert (A.M.).,"[924, 404, 1360, 1504, 1614, 1716]",,,,,
1922,6,A,Aubert (C.A.).,[501],,,,,
1922,6,A,Aubey & Destin (Société),[1379],,,,,
1922,6,A,Aubier (F.),[846],,,,,
1922,6,A,Aubin (G.),[550],,,,,
1922,6,A,Aubin (A.),[597],,,,,
1922,6,A,Aubois (C.),[1111],,,,,
1922,6,A,Aubry (F.),[1319],,,,,
1922,6,A,Aubry (Société anonyme Ancienne Maison J.),[185],,,,,
1922,6,A,Aubry Conrad & Cie,[290],,,,,
1922,6,A,Auchère (E.).,[110],,,,,
1922,6,A,Audemar (H.G.).,[951],,,,,
1922,6,A,Audibert (P.),[62],,,,,
1922,6,A,Audibert & Cie (Société E.),[350],,,,,
1922,6,A,Audier (D.).,"[1140, 1800]",,,,,
1922,6,A,Audier (A.),[1297],,,,,
1922,6,A,Audoni & Laffargue (Société).,[1012],,,,,
1922,6,A,Audouard (J.M.).,[1122],,,,,
1922,6,A,Audouy (A.),[1418],,,,,
1922,6,A,Audrodias (A.).,[387],,,,,
1922,6,A,Auerbacher frères (Société),[1233],,,,,
1922,6,A,Auerlicht Gesellschaft m. b. H. Kommandit gesellschaft (Société),[713],,,,,
1922,6,A,Augendre (J.),[1497],,,,,
1922,6,A,Augereau (F.),[302],,,,,
1922,6,A,Augis (P.J.),[1116],,,,,
1922,6,A,Aujas & Rebillet (Société),[1137],,,,,
1922,6,A,Aula & Gachie (Maison),[482],,,,,
1922,6,A,Aumeras (H.J.).,[607],,,,,
1922,6,A,Aupinel & Cie (Société P.),[626],,,,,
1922,6,A,Aupinel & Cie (Raison sociale),[1500],,,,,
1922,6,A,Aupinel & Cie (Raison sociale P.).,[1801],,,,,
